"Pharmaceutical","Pharmaceutical.1","Chemical_Class","Treated_As_FOR_PkA","target_Kd","target_LogKd","structure_Neg","structure_MV","structure_UI","structure_RB","structure_DB","soil_pH","soil_TOC"
"Amitriptyline","Amitriptyline","Base","Base",634.3,2.802294711,0,257.8,3.807,3,1,6.04,4.073
"Amitriptyline","Amitriptyline","Base","Base",667.26,2.824295091,0,257.8,3.807,3,1,3.19,5.897
"Amitriptyline","Amitriptyline","Base","Base",292.97,2.466823151,0,257.8,3.807,3,1,5.29,3.225
"Amitriptyline","Amitriptyline","Base","Base",307.68,2.488099267,0,257.8,3.807,3,1,6.73,3.479
"Amitriptyline","Amitriptyline","Base","Base",84.17,1.925157327,0,257.8,3.807,3,1,4.76,1.338
"Amitriptyline","Amitriptyline","Base","Base",111.83,2.048558325,0,257.8,3.807,3,1,5.17,1.447
"Amitriptyline","Amitriptyline","Base","Base",298.82,2.475409661,0,257.8,3.807,3,1,7.4,1.882
"Amitriptyline","Amitriptyline","Base","Base",971.73,2.987545611,0,257.8,3.807,3,1,7.07,1.813
"Amitriptyline","Amitriptyline","Base","Base",980.63,2.991505175,0,257.8,3.807,3,1,7.35,1.434
"Amitriptyline","Amitriptyline","Base","Base",748.76,2.874342636,0,257.8,3.807,3,1,7.43,1.227
"Amitriptyline","Amitriptyline","Base","Base",2798.6,3.44694083,0,257.8,3.807,3,1,7.18,4.53
"Amitriptyline","Amitriptyline","Base","Base",787.97,2.896509683,0,257.8,3.807,3,1,6.73,3.259
"Amitriptyline","Amitriptyline","Base","Base",1480.6,3.170437745,0,257.8,3.807,3,1,7.39,3.539
"Atenolol","Atenolol","Base","Base",20.31,1.307709923,0,236.7,3,8,1,6.04,4.073
"Atenolol","Atenolol","Base","Base",25.452,1.405721915,0,236.7,3,8,1,3.19,5.897
"Atenolol","Atenolol","Base","Base",5.526,0.742410881,0,236.7,3,8,1,5.29,3.225
